Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
AC-0040A,CDE 261,309858,7921157,Patos de Minas,0.05,3.1,6.0,217.0,1.9,0.32,0.07,0.09,105.62,20.1,79,2.36,39.6,5.8,11.0,0.16,0.04,0.11,0.16,34.6,10.0,140.22,0.07,544,1.19,2.9,41.8,870.0,20.9,18.8,0.57,9.8,2.1,15.3,9.0,0.06,1.69,94,0.1,7.78,61,12.2
AC-0041,CDE 262,312258,7918411,Patos de Minas,0.02,2.93,4.0,163.0,1.4,0.22,0.09,0.06,99.96,12.1,94,1.8,31.4,5.91,11.1,0.32,0.04,0.07,0.13,32.4,3.0,132.36,0.06,737,0.98,3.56,31.5,898.0,14.4,15.1,0.56,11.2,2.5,13.9,9.5,0.08,1.63,125,0.1,7.07,32,25.0
AC-0042,CDE 263,310746,7918587,Patos de Minas,0.08,3.5,6.0,245.0,1.7,0.26,0.11,0.14,102.28,34.3,107,2.34,42.9,8.07,12.0,0.4,0.04,0.03,0.21,33.5,9.0,135.78,0.11,2065,1.5,5.15,54.8,1158.0,17.9,19.8,0.56,12.4,2.7,20.2,9.8,0.11,1.7,130,0.2,8.69,50,30.2
AC-0043,CDE 264,309209,7916627,Patos de Minas,0.12,3.74,2.0,97.0,3.7,0.13,0.04,0.07,89.41,15.8,501,1.58,69.6,5.62,17.3,0.36,0.03,0.09,0.07,22.3,4.0,111.71,0.03,159,0.98,5.21,130.9,1352.0,8.5,6.6,0.46,17.3,3.9,19.2,8.4,0.13,2.48,186,0.2,21.9,49,23.0
AC-0044,CDE 265,314540,7917292,Patos de Minas,0.04,2.05,4.0,242.0,2.1,0.26,0.07,0.09,118.42,13.1,81,3.02,40.9,5.78,10.6,0.91,0.01,0.05,0.17,44.0,8.0,162.42,0.21,227,1.44,2.2,43.3,557.0,20.3,28.8,0.49,13.2,2.3,20.8,11.1,0.12,1.7,145,0.1,13.12,39,55.1
AC-0045,CDE 266,312312,7916103,Patos de Minas,0.08,3.16,2.0,150.0,1.4,0.09,0.13,0.05,135.1,20.3,533,0.79,39.3,5.9,12.2,0.24,0.03,0.08,0.03,34.6,1.0,169.7,0.09,365,1.41,5.73,119.7,1183.0,10.4,3.4,0.44,13.6,3.7,33.6,11.7,0.17,1.87,147,0.2,7.0,57,13.9
AC-0046,CDE 267,309915,7913907,Patos de Minas,0.07,1.58,3.0,299.0,1.7,0.05,0.14,0.1,103.31,47.6,281,0.88,47.1,7.6,8.3,0.53,0.01,0.06,0.04,38.4,1.0,141.71,0.1,1214,1.27,6.52,135.6,1676.0,7.2,7.6,0.28,11.4,2.5,47.3,8.2,0.16,1.56,124,0.2,10.11,42,25.3
AC-0047,CDE 268,315136,7912478,Patos de Minas,0.05,1.61,2.0,119.0,0.9,0.05,0.09,0.03,54.74,6.7,72,1.05,16.0,2.47,5.8,0.12,0.03,0.02,0.02,17.5,2.0,72.24,0.05,271,0.45,3.54,21.7,462.0,5.2,3.6,0.17,5.2,1.6,13.6,4.9,0.06,0.84,54,0.1,4.6,14,5.5
AC-0048,CDE 269,314578,7908161,Patos de Minas,0.07,2.08,3.0,301.0,2.2,0.12,0.17,0.14,154.87,61.6,389,1.62,36.5,6.22,8.7,0.34,0.04,0.02,0.14,62.7,7.0,217.57,0.51,489,1.36,11.52,349.4,1186.0,13.3,19.6,0.29,11.2,2.4,55.7,16.2,0.2,1.43,109,0.3,15.1,66,15.3
AC-0049,CDE 270,315094,7904547,Patos de Minas,0.04,1.85,3.0,347.0,2.3,0.07,0.1,0.08,111.57,32.0,140,1.83,36.8,5.75,8.4,0.49,0.03,0.02,0.14,46.8,4.0,158.37,0.27,965,0.75,7.28,91.2,1342.0,8.4,21.0,0.44,10.3,2.3,48.1,12.2,0.18,1.73,120,0.2,10.97,43,38.1
AC-0050A,CDE 271,314543,7905339,Patos de Minas,0.1,2.58,3.0,273.0,2.5,0.13,0.1,0.13,124.41,25.1,404,1.79,40.0,3.95,10.6,0.35,0.05,0.09,0.12,47.0,6.0,171.41,0.25,294,1.65,9.8,154.1,1005.0,12.5,22.4,0.45,12.5,3.4,36.1,11.8,0.21,1.75,128,0.3,13.96,54,24.0
AC-0051,CDE 272,312564,7903722,Patos de Minas,0.05,2.26,4.0,364.0,2.0,0.07,0.13,0.21,136.55,30.1,144,2.07,42.0,6.57,10.0,0.55,0.03,0.07,0.14,62.1,5.0,198.65,0.29,1104,1.18,8.67,79.6,1593.0,19.3,22.9,0.65,12.5,2.6,57.5,15.4,0.24,2.04,141,0.3,13.49,44,35.5
AC-0052,CDE 273,310238,7898780,Patos de Minas,0.07,3.0,4.0,779.0,3.8,0.11,0.23,0.16,203.96,18.8,95,2.6,41.1,5.97,12.5,0.49,0.02,0.06,0.11,72.1,14.0,276.06,0.1,288,1.81,20.64,46.2,1821.0,13.3,17.1,0.68,15.6,4.5,151.6,19.9,0.14,6.03,188,0.2,14.06,54,32.4
AC-0053,CDE 274,309060,7900408,Patos de Minas,0.1,3.28,4.0,486.0,2.1,0.07,1.35,0.16,469.6,33.8,164,1.39,53.7,10.59,15.4,0.74,0.03,0.1,0.09,227.3,3.0,696.9,0.3,707,0.97,13.02,81.6,8323.0,13.6,13.8,0.73,29.5,4.4,509.7,31.9,0.39,3.4,200,0.2,22.15,38,52.6
AC-0054,CDE 275,308226,7898727,Patos de Minas,0.12,4.92,5.0,539.0,3.1,0.15,0.23,0.14,238.56,22.5,113,3.12,58.4,8.07,17.2,0.78,0.04,0.15,0.09,100.2,9.0,338.76,0.21,367,1.64,14.91,58.8,2881.0,13.0,17.3,0.81,25.4,5.6,163.9,18.2,0.27,4.49,224,0.3,17.76,57,52.0
AC-0055,CDE 276,306131,7899270,Patos de Minas,0.06,2.09,4.0,271.0,1.3,0.05,0.08,0.02,79.62,18.0,76,1.27,32.9,5.55,8.1,0.32,0.02,0.04,0.06,30.6,3.0,110.22,0.07,596,0.98,4.97,38.8,1415.0,6.7,8.6,0.46,9.2,2.4,50.2,3.9,0.1,1.48,98,0.1,8.23,25,15.0
AC-0056,CDE 277,322405,7924909,Patos de Minas,0.07,1.25,6.0,83.0,1.0,0.27,0.03,0.03,43.94,15.2,37,1.3,23.6,3.78,5.5,0.05,0.01,0.02,0.08,17.0,3.0,60.94,0.05,583,0.47,0.57,20.8,477.0,20.9,7.4,0.47,4.2,1.4,3.0,4.8,0.02,0.86,41,0.1,4.9,38,3.0
AC-0057,CDE 278,322391,7924874,Patos de Minas,0.04,2.76,6.0,101.0,1.3,0.47,0.02,0.02,72.0,12.2,40,1.77,26.1,4.34,9.6,0.08,0.01,0.03,0.1,22.3,5.0,94.3,0.04,579,0.65,0.43,14.4,385.0,30.0,11.2,0.68,7.4,1.8,3.5,8.4,0.01,1.28,66,0.1,7.16,23,4.7
AC-0058,CDE 279,317351,7924177,Patos de Minas,0.07,1.88,6.0,91.0,0.9,0.24,0.08,0.06,43.51,14.8,43,1.2,21.4,3.75,6.1,0.05,0.04,0.02,0.07,15.3,3.0,58.81,0.06,599,0.75,0.89,20.9,405.0,16.8,8.8,0.51,5.0,1.3,4.6,4.3,0.02,0.95,47,0.1,4.73,33,3.4
AC-0059,CDI 143,289860,7930907,Patos de Minas,0.04,1.54,4.0,30.0,0.2,0.12,0.01,0.02,28.72,1.5,18,0.69,9.8,1.74,4.4,0.07,0.02,0.03,0.06,13.5,1.0,42.22,0.01,44,0.83,0.32,3.5,106.0,7.8,6.0,0.26,1.6,1.2,2.6,5.5,0.01,0.63,38,1.0,2.42,8,3.6
AC-0060A,CDI 144,292856,7934772,Patos de Minas,0.12,1.86,2.0,27.0,0.1,0.1,0.01,0.01,47.75,0.7,58,0.83,12.3,1.15,5.2,0.05,0.01,0.03,0.04,31.1,1.0,78.85,0.01,42,8.59,0.36,5.4,127.0,11.1,4.6,0.23,2.7,1.5,2.2,3.8,0.01,0.61,37,1.2,6.72,3,1.3
AC-0061,CDI 145,295216,7934503,Patos de Minas,0.06,3.52,4.0,24.0,0.2,0.18,0.01,0.02,18.77,1.2,30,0.69,9.3,2.33,9.7,0.21,0.01,0.05,0.03,8.2,1.0,26.97,0.01,40,1.07,0.38,4.2,133.0,7.0,3.4,0.3,3.5,1.9,2.1,5.9,0.01,0.52,62,0.7,1.9,5,9.0
AC-0062,CDI 146,297195,7935627,Patos de Minas,0.28,4.97,5.0,19.0,0.2,0.28,0.01,0.01,14.59,1.2,62,0.52,9.5,2.81,14.4,0.44,0.02,0.07,0.03,6.2,1.0,20.79,0.01,34,5.42,0.52,6.6,154.0,7.1,2.5,0.44,4.5,2.9,2.2,7.8,0.01,0.53,79,0.7,1.66,6,15.2
AC-0063,CDI 147,296698,7931248,Patos de Minas,0.13,5.66,4.0,32.0,0.5,0.27,0.01,0.02,41.97,0.9,56,1.49,17.8,2.94,16.8,0.47,0.01,0.1,0.06,20.7,2.0,62.67,0.01,35,1.14,0.3,7.0,187.0,13.6,7.2,0.4,6.7,2.6,1.6,10.7,0.01,0.89,110,0.7,3.9,6,18.4
AC-0064,CDI 148,292850,7934800,Patos de Minas,0.05,1.9,3.0,37.0,0.3,0.12,0.01,0.01,25.22,0.6,48,0.73,11.9,1.63,5.6,0.05,0.01,0.04,0.09,12.7,1.0,37.92,0.01,35,6.28,0.21,3.9,119.0,6.9,8.7,0.29,1.4,1.4,3.1,6.4,0.01,0.69,41,2.4,1.89,5,2.6
AC-0065,CDI 149,289153,7934848,Patos de Minas,0.09,1.49,8.0,84.0,0.9,0.32,0.02,0.07,73.43,17.5,39,1.22,33.7,4.2,5.7,0.16,0.04,0.03,0.18,34.5,7.0,107.93,0.06,227,0.98,0.39,19.9,445.0,32.3,14.9,0.83,2.1,0.9,5.4,9.8,0.01,1.01,70,1.5,5.76,50,7.7
AC-0066,CDI 150,293344,7934605,Patos de Minas,0.07,2.74,4.0,23.0,0.3,0.17,0.01,0.01,24.18,1.8,55,0.79,18.4,2.5,8.5,0.13,0.01,0.05,0.03,11.3,1.0,35.48,0.01,49,5.88,0.35,7.1,148.0,8.8,3.1,0.32,4.4,1.7,2.0,4.9,0.01,0.56,64,0.5,2.48,8,7.1
AC-0067,CDI 151,289108,7937968,Patos de Minas,0.05,1.92,5.0,38.0,0.3,0.21,0.01,0.01,39.69,6.3,33,0.73,21.3,3.01,6.0,0.14,0.02,0.04,0.08,18.4,3.0,58.09,0.02,188,1.0,0.39,8.4,210.0,13.5,5.9,0.41,2.1,1.6,3.5,6.9,0.01,0.67,65,0.7,2.82,22,8.7
AC-0068,CDI 152,295199,7933566,Patos de Minas,0.07,3.5,2.0,26.0,0.6,0.22,0.01,0.01,103.5,1.5,70,1.35,23.0,1.91,10.4,0.27,0.01,0.07,0.05,33.6,2.0,137.1,0.01,39,6.69,0.35,7.7,236.0,19.4,4.6,0.29,5.2,2.1,1.7,8.3,0.01,1.02,82,0.4,12.39,9,11.1
AC-0069,CDI 153,289250,7929010,Patos de Minas,0.1,1.09,4.0,49.0,0.4,0.17,0.01,0.03,47.74,5.0,17,0.56,19.4,2.06,3.7,0.06,0.01,0.03,0.08,22.8,2.0,70.54,0.01,63,0.64,0.35,9.1,164.0,14.5,7.4,0.34,1.4,0.9,3.7,8.3,0.01,0.89,48,0.8,2.87,26,3.4
AC-0070A,CDI 154,294020,7950512,Patos de Minas,0.08,2.18,3.0,24.0,0.2,0.09,0.01,0.02,18.81,0.7,77,0.53,10.3,1.71,5.7,0.05,0.02,0.04,0.05,6.1,1.0,24.91,0.01,51,9.11,0.47,5.1,152.0,6.1,4.2,0.31,2.4,1.5,1.6,4.0,0.01,0.52,53,0.4,1.05,5,1.7
BM-0163,CDD914,334618,7925398,Patos de Minas,0.05,1.68,7.0,74.0,1.2,0.32,0.06,0.03,64.33,11.1,33,1.13,22.7,4.26,5.9,0.21,0.04,0.05,0.14,31.9,2.0,96.23,0.05,547,0.7,0.29,16.7,392.0,18.0,8.1,0.58,4.6,1.6,4.0,7.6,0.01,0.86,47,0.5,7.83,38,8.9
BM-0164,CDD915,331445,7924490,Patos de Minas,0.05,1.56,7.0,94.0,1.0,0.28,0.06,0.04,54.72,16.3,31,1.04,21.5,4.44,4.9,0.1,0.04,0.03,0.15,27.5,3.0,82.22,0.04,1048,0.6,0.34,20.5,449.0,16.8,7.4,0.49,3.9,1.4,4.5,6.0,0.01,0.77,44,0.6,7.21,42,3.8
BM-0165,CDD916,335210,7917621,Patos de Minas,0.06,2.63,10.0,112.0,1.4,0.49,0.05,0.03,84.49,15.2,52,1.3,29.6,5.57,7.7,0.41,0.03,0.02,0.27,37.6,5.0,122.09,0.07,922,0.97,0.25,26.7,364.0,33.0,12.0,0.99,6.8,1.8,4.5,9.7,0.01,0.96,69,0.3,9.96,42,13.2
BM-0166,CDD917,332990,7916540,Patos de Minas,0.07,1.36,3.0,91.0,0.8,0.22,0.1,0.05,47.75,6.4,34,0.61,27.1,2.83,4.0,0.08,0.04,0.03,0.22,32.4,1.0,80.15,0.06,367,0.72,0.48,14.8,1259.0,17.5,9.2,0.53,3.2,1.6,7.0,4.4,0.01,0.82,35,0.7,8.67,69,1.9
BM-0167,CDD918,334988,7914937,Patos de Minas,0.04,0.83,1.0,62.0,0.5,0.12,0.04,0.06,32.75,5.9,72,0.61,9.5,1.91,2.5,0.18,0.02,0.02,0.09,15.0,1.0,47.75,0.04,281,0.43,1.37,14.3,258.0,13.0,4.8,0.23,2.3,1.2,7.3,4.3,0.05,0.56,27,0.6,2.62,26,10.0
BM-0168,CDD919,333863,7921069,Patos de Minas,0.13,3.29,19.0,77.0,1.1,0.42,0.06,0.11,93.0,18.1,43,1.28,31.2,15.0,9.0,0.79,0.03,0.02,0.2,46.2,1.0,139.2,0.04,1096,1.58,0.77,20.8,650.0,40.0,8.2,1.08,7.7,2.2,4.6,9.2,0.02,1.07,76,0.3,12.04,31,18.5
BM-0169,CDD920,333160,7910365,Patos de Minas,0.07,1.55,6.0,60.0,0.9,0.29,0.02,0.03,66.29,10.0,30,0.86,21.3,3.44,5.2,0.24,0.04,0.08,0.15,34.1,1.0,100.39,0.03,287,0.39,0.27,14.0,374.0,12.2,6.7,0.7,4.2,1.6,1.7,7.5,0.01,0.84,57,1.0,8.31,35,9.3
BM-0170A,CDD921,332827,7914155,Patos de Minas,0.07,5.8,9.0,181.0,1.3,0.52,0.08,0.03,84.15,19.3,76,1.97,27.6,7.25,13.8,0.65,0.04,0.05,0.29,24.3,20.0,108.45,0.11,1875,1.37,0.47,31.7,618.0,25.1,18.3,1.16,11.9,3.1,7.2,13.0,0.02,1.55,118,1.0,7.08,42,22.6
BM-0171,CDD922,332073,7906702,Patos de Minas,0.05,3.26,9.0,84.0,1.2,0.4,0.05,0.05,71.72,18.8,43,1.64,26.3,7.96,8.3,0.27,0.05,0.04,0.22,35.1,3.0,106.82,0.06,1202,0.85,0.39,23.6,376.0,25.5,9.9,0.89,7.0,2.0,3.9,8.8,0.01,0.97,71,0.3,10.32,38,11.0
BM-0172,CDD923,331356,7907290,Patos de Minas,0.1,3.71,8.0,70.0,0.9,0.39,0.05,0.02,78.39,9.9,75,1.3,46.9,6.18,8.9,0.53,0.01,0.02,0.18,32.2,2.0,110.59,0.05,418,1.28,0.63,67.1,439.0,18.9,8.7,1.1,9.0,2.9,4.2,9.7,0.01,1.13,93,0.4,8.95,45,20.0
BM-0173,CDD924,332885,7908724,Patos de Minas,0.05,3.67,8.0,100.0,1.1,0.39,0.05,0.04,69.9,12.9,44,1.83,25.1,6.97,8.7,0.09,0.06,0.06,0.23,33.7,3.0,103.6,0.05,725,0.85,0.59,18.7,696.0,15.2,10.3,0.85,7.9,2.3,3.6,7.6,0.01,0.96,81,0.3,9.67,60,4.3
BM-0174,CDD925,332011,7908847,Patos de Minas,0.07,9.38,9.0,112.0,1.0,0.57,0.06,0.05,88.1,8.2,95,3.69,40.3,8.31,17.6,1.33,0.01,0.12,0.39,28.2,14.0,116.3,0.13,532,2.68,0.77,57.5,554.0,23.8,24.3,1.38,16.1,4.3,6.0,13.4,0.02,1.79,188,0.7,8.27,52,35.6
BM-0175,CDD926,336480,7910713,Patos de Minas,0.09,2.62,10.0,76.0,1.6,0.44,0.05,0.15,64.75,22.2,70,1.12,25.7,7.56,7.6,0.36,0.04,0.04,0.18,28.6,2.0,93.35,0.06,1329,1.36,0.4,28.4,698.0,48.6,8.4,1.3,7.2,1.8,4.5,8.7,0.01,1.17,89,0.5,9.29,66,12.5
BM-0176,CDD927,335775,7912663,Patos de Minas,0.06,3.65,8.0,98.0,1.3,0.43,0.06,0.04,76.42,21.8,56,1.55,24.8,6.39,9.0,0.21,0.05,0.07,0.18,34.3,4.0,110.72,0.05,2851,1.12,0.49,24.0,576.0,26.6,9.3,0.95,8.1,2.4,5.4,9.0,0.01,1.2,92,0.3,10.04,50,8.3
BM-0177,CDD928,331063,7915432,Patos de Minas,0.07,1.86,4.0,144.0,1.2,0.21,0.07,0.07,63.77,14.9,81,1.29,20.1,3.92,5.2,0.32,0.03,0.04,0.13,26.0,3.0,89.77,0.1,843,0.61,2.07,35.3,769.0,13.6,9.1,0.36,5.9,1.7,12.8,7.5,0.05,0.98,62,0.3,5.76,42,21.1
BM-0178,CDI 155,323775,7939798,Patos de Minas,0.07,1.45,9.0,74.0,1.0,0.22,0.05,0.04,75.13,12.9,23,1.27,28.0,4.53,5.5,0.07,0.01,0.03,0.12,31.4,4.0,106.53,0.02,335,0.81,0.31,15.0,701.0,18.1,9.8,0.7,2.5,1.1,5.6,6.5,0.01,1.18,33,0.3,5.84,49,1.9
BM-0179,CDI 156,319960,7940118,Patos de Minas,0.12,0.87,7.0,61.0,0.9,0.25,0.06,0.08,46.67,12.3,62,1.05,24.1,4.15,4.1,0.19,0.01,0.03,0.14,22.7,4.0,69.37,0.04,388,9.45,0.34,19.1,304.0,19.5,8.5,0.65,1.4,1.0,5.1,5.7,0.01,0.66,32,0.6,5.16,40,4.8
BM-0180A,CDI 157,327316,7953453,Patos de Minas,0.13,1.87,5.0,655.0,2.6,0.24,0.14,0.05,147.98,62.0,223,1.58,68.5,8.71,12.4,1.18,0.01,0.08,0.25,80.4,11.0,228.38,0.42,1778,0.66,1.99,100.5,1495.0,24.5,22.6,0.7,11.1,3.0,132.8,15.0,0.29,2.33,129,0.3,16.05,68,50.0
BM-0181,CDI 158,328077,7945793,Patos de Minas,0.06,1.24,7.0,213.0,1.3,0.39,0.13,0.04,88.48,39.0,87,1.3,50.7,5.11,6.7,0.64,0.01,0.04,0.23,36.4,11.0,124.88,0.24,1330,4.98,1.39,50.9,639.0,33.8,14.2,1.12,3.5,1.4,26.6,8.8,0.07,1.11,58,0.4,9.75,54,20.2
BM-0182,CDI 159,320114,7953155,Patos de Minas,0.14,3.88,2.0,362.0,2.0,0.11,0.02,0.05,118.93,11.0,203,0.95,96.6,3.85,20.4,0.89,0.03,0.13,0.03,64.2,2.0,183.13,0.04,157,0.74,2.27,67.3,1035.0,12.6,4.1,0.31,17.7,4.6,88.1,12.2,0.15,3.27,166,0.1,10.02,18,58.6
BM-0183,CDI 160,316955,7947324,Patos de Minas,0.05,0.78,11.0,75.0,1.0,0.38,0.04,0.03,66.14,19.8,59,1.0,34.3,5.28,4.5,0.37,0.01,0.02,0.16,27.9,7.0,94.04,0.08,543,7.49,0.5,25.6,318.0,30.6,8.5,1.1,1.9,1.0,9.3,9.0,0.01,1.06,43,0.4,5.31,42,10.1
BM-0184,CDI 161,314250,7951624,Patos de Minas,0.08,1.04,6.0,118.0,1.3,0.31,0.08,0.04,72.9,24.2,47,1.57,31.2,4.13,5.4,0.42,0.02,0.02,0.2,36.0,14.0,108.9,0.17,764,0.76,0.63,29.9,405.0,25.7,11.2,0.64,2.2,1.2,11.4,7.7,0.02,0.81,41,0.7,9.65,54,12.5
BM-0185,CDI 162,314548,7951831,Patos de Minas,0.1,1.04,9.0,168.0,1.1,0.29,0.09,0.02,78.98,26.1,89,1.26,38.6,5.56,5.7,0.63,0.01,0.03,0.2,37.1,10.0,116.08,0.2,734,6.78,0.7,42.6,550.0,25.7,11.5,0.9,3.4,1.1,28.0,8.8,0.04,1.07,55,0.3,7.93,52,22.6
BM-0186,CDI 163,322567,7948285,Patos de Minas,0.09,1.58,10.0,115.0,1.6,0.42,0.08,0.04,106.86,36.9,101,1.44,39.1,5.63,7.1,0.39,0.01,0.03,0.24,41.2,12.0,148.06,0.12,920,7.74,0.55,44.0,427.0,43.5,13.7,1.35,3.7,1.3,8.0,9.1,0.02,1.15,65,0.5,14.57,55,11.1
BM-0187,CDI 164,325526,7949574,Patos de Minas,0.06,1.52,7.0,110.0,1.1,0.39,0.07,0.04,80.99,25.4,73,1.5,32.7,4.59,6.9,0.28,0.01,0.03,0.18,38.0,8.0,118.99,0.13,1080,4.92,0.87,29.9,362.0,29.4,11.1,0.96,2.9,1.4,9.5,8.9,0.02,0.98,51,0.9,11.31,47,6.0
BM-0188,CDI 165,324722,7952004,Patos de Minas,0.15,1.03,5.0,173.0,1.2,0.26,0.08,0.02,63.75,19.4,104,1.12,30.4,4.18,5.5,0.43,0.01,0.03,0.16,33.7,8.0,97.45,0.19,793,6.79,0.95,34.8,528.0,20.5,10.7,0.62,3.0,1.4,25.3,7.4,0.08,0.98,51,0.9,8.52,44,17.9
BM-0189,CDI 166,325439,7951623,Patos de Minas,0.04,1.32,6.0,257.0,1.8,0.35,0.1,0.03,99.55,34.6,102,1.14,35.7,5.57,7.5,0.52,0.01,0.04,0.19,44.1,8.0,143.65,0.21,1387,0.47,1.21,50.2,794.0,30.7,13.0,0.59,4.4,1.5,38.5,9.7,0.11,1.33,72,0.4,10.69,63,18.0
BM-0190A,CDI 167,321039,7946437,Patos de Minas,0.03,2.15,8.0,127.0,1.6,0.34,0.08,0.04,96.93,28.7,63,1.21,32.9,5.36,8.8,0.26,0.02,0.04,0.19,37.6,10.0,134.53,0.12,1394,0.7,0.53,34.3,562.0,33.3,12.0,0.66,4.4,1.7,11.5,8.5,0.02,1.32,68,0.5,12.42,56,4.8
BM-0191,CDI 168,322062,7946393,Patos de Minas,0.03,1.51,6.0,97.0,1.5,0.37,0.08,0.06,79.12,24.7,89,1.02,42.4,4.55,7.0,0.17,0.01,0.03,0.17,41.3,8.0,120.42,0.08,1683,3.23,0.51,25.6,440.0,25.6,10.8,0.65,3.2,1.2,6.1,7.9,0.01,1.04,55,0.5,12.22,55,0.5
BM-0192,CDI 169,321811,7947897,Patos de Minas,0.03,1.22,6.0,86.0,1.1,0.3,0.07,0.07,64.86,18.4,55,0.94,26.5,4.0,6.2,0.26,0.01,0.03,0.14,29.7,6.0,94.56,0.09,872,0.59,0.48,23.6,415.0,24.6,8.6,0.52,2.7,1.2,8.5,7.1,0.02,1.04,48,0.4,9.02,46,5.5
BM-0193,CDI 170,323953,7942545,Patos de Minas,0.06,3.0,9.0,104.0,1.3,0.49,0.08,0.04,119.17,42.9,80,1.32,41.3,5.86,10.7,0.3,0.01,0.06,0.22,43.2,19.0,162.37,0.13,1210,3.96,0.72,46.0,450.0,42.2,15.6,0.96,5.4,2.0,9.4,10.7,0.02,1.37,77,0.5,13.71,61,6.6
BM-0194,CDI 171,314635,7948981,Patos de Minas,0.16,1.88,6.0,195.0,1.6,0.31,0.12,0.06,73.28,22.9,118,1.63,42.1,6.75,9.8,0.95,0.01,0.05,0.24,35.6,22.0,108.88,0.3,862,0.8,0.68,47.3,655.0,24.1,10.1,0.45,7.1,1.9,26.1,10.0,0.08,1.56,90,0.2,10.77,75,30.9
BM-0195,CDI 172,317408,7943768,Patos de Minas,0.04,0.83,14.0,104.0,0.8,0.43,0.03,0.08,67.84,18.8,65,0.77,41.9,5.8,4.4,0.3,0.01,0.03,0.18,26.3,6.0,94.14,0.06,690,9.12,0.34,25.5,321.0,32.3,8.6,1.01,1.8,1.0,9.4,9.4,0.01,1.14,42,0.5,5.1,48,7.3
BM-0196,CDI 173,315374,7940127,Patos de Minas,0.04,0.98,23.0,123.0,1.0,0.6,0.03,0.04,57.36,20.0,29,0.74,53.2,7.85,4.9,0.31,0.01,0.04,0.21,18.5,10.0,75.86,0.08,796,1.76,0.4,24.9,368.0,39.1,9.6,1.64,3.0,0.8,12.7,11.1,0.01,1.04,55,0.6,3.28,64,7.4
BM-0197,CDI 174,315875,7941469,Patos de Minas,0.05,0.78,12.0,66.0,0.7,0.35,0.07,0.04,34.13,16.3,47,0.72,24.6,5.69,2.7,0.2,0.01,0.03,0.22,14.1,6.0,48.23,0.07,474,7.12,0.49,27.9,312.0,21.6,8.9,1.07,1.3,0.9,14.4,8.3,0.01,0.76,31,0.4,3.19,64,3.9
