Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
EC-0123,CDE210,322821,7906842,Patos de Minas,0.04,5.36,9.0,87.0,0.9,0.43,0.06,0.02,87.19,9.0,57,2.69,39.5,6.56,19.0,0.59,0.02,0.11,0.18,31.3,3.0,118.49,0.05,608,0.86,0.94,22.6,478.0,19.7,13.5,0.69,11.9,2.3,5.6,12.7,0.02,1.48,112,0.2,8.4,33,28.1
EC-0124,CDE211,321352,7910059,Patos de Minas,0.03,8.71,10.0,82.0,1.2,0.44,0.07,0.02,106.06,6.3,110,3.61,42.2,7.47,28.8,0.9,0.02,0.16,0.2,25.2,7.0,131.26,0.08,292,1.34,2.53,32.3,627.0,22.5,23.2,0.96,19.6,3.8,5.2,16.1,0.05,1.96,180,0.3,6.55,32,45.8
EC-0125,CDE212,319403,7907478,Patos de Minas,0.09,1.89,3.0,296.0,2.1,0.12,0.11,0.05,101.1,23.4,178,1.53,33.1,4.91,9.7,0.67,0.05,0.03,0.1,44.5,5.0,145.6,0.16,1376,0.84,4.66,88.0,913.0,9.1,13.6,0.32,9.3,1.7,34.9,12.8,0.17,1.55,98,0.1,9.09,45,42.9
EC-0126,CDE213,319696,7909836,Patos de Minas,0.05,3.09,5.0,185.0,1.5,0.23,0.09,0.03,101.24,17.0,290,1.88,25.3,5.18,11.9,0.37,0.05,0.03,0.12,36.4,6.0,137.64,0.11,403,0.94,5.05,87.8,867.0,12.6,14.9,0.5,10.2,1.8,15.7,13.1,0.11,1.46,99,0.5,8.64,58,20.5
EC-0127,CDE214,316724,7913807,Patos de Minas,0.05,3.02,2.0,178.0,1.8,0.15,0.07,0.06,131.79,20.4,278,1.7,30.3,5.46,11.7,0.49,0.06,0.05,0.1,49.5,5.0,181.29,0.17,514,0.83,6.26,74.6,679.0,9.1,11.7,0.29,10.1,2.0,24.3,13.9,0.22,1.43,104,0.3,8.46,47,27.6
EC-0128,CDE215,318355,7912840,Patos de Minas,0.04,9.74,7.0,141.0,1.0,0.59,0.07,0.01,154.04,10.3,126,4.46,57.5,8.69,29.9,1.56,0.02,0.12,0.31,44.0,8.0,198.04,0.1,613,1.83,1.58,40.7,589.0,35.2,33.1,1.05,22.1,3.9,7.3,21.2,0.06,2.28,210,0.9,8.37,53,57.9
EC-0129,CDE216,323526,7912559,Patos de Minas,0.04,4.77,5.0,71.0,0.7,0.38,0.09,0.03,85.16,6.5,55,2.74,28.4,4.36,15.0,0.27,0.04,0.06,0.17,30.5,9.0,115.66,0.07,393,0.69,0.8,20.1,397.0,21.2,18.7,0.57,10.1,1.9,6.9,10.5,0.02,1.32,93,0.4,9.33,26,15.8
EC-0130A,CDE217,323886,7914724,Patos de Minas,0.06,2.26,2.0,172.0,1.3,0.19,0.06,0.03,90.71,13.5,151,1.25,27.5,3.47,8.7,0.57,0.04,0.02,0.16,42.3,4.0,133.01,0.09,514,0.61,4.31,51.4,568.0,11.7,12.9,0.35,6.9,1.4,18.5,11.2,0.18,1.11,63,0.2,7.38,44,29.4
EC-0131,CDE218,321831,7911937,Patos de Minas,0.05,1.79,3.0,146.0,1.1,0.17,0.06,0.01,80.12,11.8,150,1.17,21.1,3.25,8.0,0.45,0.02,0.02,0.08,34.6,3.0,114.72,0.08,322,0.54,3.36,52.9,680.0,10.1,9.5,0.3,6.7,1.2,14.3,9.5,0.08,1.06,66,0.3,7.17,40,26.8
EC-0132,CDE219,320626,7914303,Patos de Minas,0.03,1.69,8.0,108.0,1.2,0.36,0.04,0.03,82.7,15.8,43,0.95,39.2,4.71,7.9,0.28,0.04,0.02,0.22,46.7,1.0,129.4,0.06,649,0.5,0.77,28.9,491.0,14.2,12.2,0.41,5.3,0.8,5.7,9.3,0.02,0.94,48,0.2,10.87,39,13.2
EC-0133,CDE220,317797,7916749,Patos de Minas,0.08,0.91,2.0,66.0,0.5,0.08,0.06,0.02,38.2,6.8,94,0.59,12.9,2.08,3.8,0.27,0.03,0.02,0.08,16.2,1.0,54.4,0.11,136,0.42,2.03,25.8,462.0,6.2,7.1,0.16,3.1,0.7,12.6,4.9,0.08,0.64,37,0.2,2.68,23,15.6
EC-0134,CDE221,321774,7918836,Patos de Minas,0.02,0.49,1.0,32.0,0.3,0.08,0.03,0.04,31.68,3.2,72,0.31,7.4,1.15,2.2,0.22,0.01,0.03,0.04,14.8,1.0,46.48,0.03,104,0.28,1.27,10.4,174.0,6.0,3.7,0.13,1.6,0.3,5.9,4.6,0.06,0.5,22,0.1,1.91,15,11.2
EC-0135,CDE222,318087,7921525,Patos de Minas,0.04,2.29,5.0,184.0,0.9,0.24,0.08,0.04,86.33,21.4,80,1.43,25.5,3.83,9.6,0.47,0.01,0.05,0.13,31.0,5.0,117.33,0.07,1170,0.77,1.58,26.0,417.0,15.4,13.1,0.39,7.4,1.3,11.9,8.4,0.06,1.04,84,0.2,7.58,28,27.2
EC-0136,CDE223,320920,7919909,Patos de Minas,0.05,1.93,9.0,136.0,1.5,0.44,0.08,0.05,82.7,37.9,124,1.2,46.2,6.39,11.0,0.57,0.02,0.05,0.14,28.5,4.0,111.2,0.15,1934,1.05,1.37,63.7,773.0,32.1,10.5,0.63,7.9,1.2,9.7,9.4,0.11,1.26,87,0.2,7.8,66,27.5
EC-0137,CDI 175,303427,7950342,Patos de Minas,0.05,0.99,3.0,26.0,0.2,0.1,0.01,0.03,22.93,2.3,20,0.45,10.0,2.06,3.4,0.07,0.04,0.03,0.05,10.1,1.0,33.03,0.01,75,0.69,0.37,4.6,116.0,8.6,3.5,0.23,0.9,1.1,2.3,4.1,0.01,0.6,47,0.6,2.24,11,2.7
EC-0138,CDI 176,297206,7952198,Patos de Minas,0.02,0.82,3.0,20.0,0.1,0.07,0.01,0.01,18.56,2.0,46,0.35,9.3,1.86,3.0,0.07,0.02,0.02,0.03,7.3,1.0,25.86,0.01,76,5.57,0.43,4.9,79.0,6.8,2.8,0.2,0.6,0.9,2.3,3.1,0.01,0.38,39,3.8,1.39,8,4.1
EC-0139,CDI 177,301022,7953004,Patos de Minas,0.1,1.29,2.0,31.0,0.3,0.1,0.01,0.02,32.31,1.9,17,0.66,12.4,1.64,4.1,0.05,0.01,0.02,0.06,14.9,1.0,47.21,0.01,62,0.52,0.47,5.2,118.0,8.8,4.6,0.18,1.3,1.1,1.8,4.9,0.01,0.69,42,2.6,2.92,8,1.9
EC-0140A,CDI 178,306047,7943567,Patos de Minas,0.02,1.4,2.0,50.0,0.3,0.1,0.01,0.01,49.24,1.7,72,0.62,13.0,2.23,4.4,0.05,0.01,0.02,0.14,24.2,2.0,73.44,0.01,99,11.04,0.73,7.4,147.0,8.6,7.8,0.21,1.5,1.6,2.7,6.1,0.01,0.82,38,0.8,4.6,10,0.8
EC-0141,CDI 179,300789,7952208,Patos de Minas,0.4,3.07,4.0,57.0,0.5,0.16,0.02,0.06,40.15,1.5,33,1.86,12.4,2.43,8.5,0.06,0.01,0.05,0.09,17.9,4.0,58.05,0.02,87,1.06,0.48,5.3,249.0,14.1,10.3,0.26,2.7,2.2,3.3,5.2,0.01,0.9,63,0.7,4.18,12,0.9
EC-0142,CDI 180,299100,7945999,Patos de Minas,0.11,0.94,9.0,17.0,0.2,0.09,0.01,0.01,6.27,1.4,112,0.12,10.7,3.44,3.2,0.19,0.01,0.02,0.02,3.3,1.0,9.57,0.01,92,16.42,0.51,7.3,105.0,5.4,1.5,0.55,0.4,1.3,6.4,2.2,0.01,0.33,109,7.2,0.9,5,8.0
EC-0143,CDI 181,305542,7949297,Patos de Minas,0.07,1.64,6.0,16.0,0.2,0.08,0.01,0.01,19.14,1.4,48,0.61,11.6,3.75,5.8,0.06,0.03,0.04,0.03,8.7,1.0,27.84,0.01,56,0.94,0.87,3.3,157.0,7.5,2.3,0.35,3.4,1.2,2.0,5.7,0.01,0.89,81,0.3,1.74,4,4.1
EC-0144,CDI 182,305017,7948833,Patos de Minas,0.04,0.77,2.0,18.0,0.1,0.06,0.01,0.01,18.86,1.0,39,0.4,7.6,1.11,2.6,0.05,0.01,0.02,0.04,8.3,1.0,27.16,0.01,48,5.91,0.26,3.7,82.0,5.3,3.0,0.18,0.2,0.9,1.3,3.5,0.01,0.4,23,0.3,1.51,4,2.8
EC-0145,CDI 183,301562,7943371,Patos de Minas,0.06,3.77,4.0,14.0,0.1,0.2,0.01,0.01,13.58,0.5,34,0.8,78.1,2.87,10.6,0.28,0.02,0.05,0.03,4.8,3.0,18.38,0.01,49,1.14,0.41,3.5,87.0,6.8,2.5,0.27,3.1,2.0,2.1,6.7,0.02,0.49,89,0.2,1.08,10,13.4
JR-0004,CDE389,336656,7901640,Patos de Minas,0.07,1.14,5.0,60.0,0.9,0.19,0.06,0.05,38.86,14.4,25,0.74,18.9,2.76,5.1,0.06,0.02,0.02,0.12,17.6,3.0,56.46,0.04,535,0.58,0.46,17.0,417.0,12.2,7.3,0.34,3.3,0.9,5.7,4.4,0.01,0.64,29,0.4,4.34,33,2.3
JR-0005,CDE390,341723,7902484,Patos de Minas,0.06,1.67,9.0,84.0,1.8,0.34,0.06,0.08,68.15,21.7,40,0.85,31.7,4.79,9.1,0.11,0.02,0.03,0.13,30.9,3.0,99.05,0.06,1213,0.7,0.31,25.0,452.0,25.5,7.3,0.61,6.0,1.0,5.2,7.0,0.01,0.87,54,0.2,9.91,45,4.3
JR-0007,CDE392,340800,7906150,Patos de Minas,0.06,1.23,6.0,77.0,0.8,0.19,0.04,0.04,41.67,23.4,25,0.76,19.3,4.11,5.4,0.06,0.03,0.04,0.13,19.7,3.0,61.37,0.04,990,0.52,0.29,18.0,466.0,12.6,7.4,0.36,3.4,0.6,5.2,4.6,0.01,0.59,33,0.1,5.07,33,2.1
JR-0008,CDE393,337133,7906562,Patos de Minas,0.13,3.6,11.0,88.0,1.2,0.47,0.06,0.06,81.95,30.9,55,1.17,35.4,5.96,14.4,0.23,0.04,0.06,0.15,36.2,2.0,118.15,0.04,3188,0.96,0.46,28.6,474.0,27.7,8.9,0.82,8.7,1.9,6.1,9.7,0.02,1.18,82,0.5,10.91,37,9.7
JR-0009,CDE394,336957,7923534,Patos de Minas,0.1,3.75,10.0,84.0,0.9,0.34,0.06,0.1,73.66,10.3,54,2.01,33.3,6.04,13.1,0.31,0.05,0.06,0.21,36.9,6.0,110.56,0.08,673,1.06,0.48,19.1,428.0,24.6,15.5,0.61,8.4,1.7,6.2,8.9,0.01,1.15,72,0.2,10.83,29,12.9
JR-0010A,CDI 184,293300,7948800,Patos de Minas,0.39,1.52,2.0,52.0,0.1,0.08,0.02,0.03,27.59,1.5,91,0.55,34.4,2.52,4.6,0.26,0.01,0.03,0.1,11.0,1.0,38.59,0.02,97,10.23,1.11,7.8,144.0,11.3,8.5,0.23,1.7,1.3,6.1,5.2,0.02,0.67,56,0.4,2.04,7,14.6
JR-0011,CDE395,337744,7923688,Patos de Minas,0.1,5.94,14.0,104.0,1.4,0.64,0.08,0.06,76.56,15.9,87,2.26,42.1,6.78,20.9,0.39,0.04,0.06,0.19,24.5,11.0,101.06,0.08,943,1.54,0.66,37.4,730.0,37.5,15.9,1.2,12.3,2.8,8.6,12.6,0.02,1.58,131,0.4,8.11,51,16.9
JR-0012,CDI 185,316181,7911430,Patos de Minas,0.23,3.54,4.0,474.0,3.2,0.24,0.31,0.06,143.83,50.5,112,3.0,48.8,9.04,14.9,0.93,0.04,0.07,0.25,60.3,13.0,204.13,0.35,2548,0.91,10.49,76.8,1355.0,18.4,54.5,0.44,14.2,3.1,42.9,19.1,0.29,2.33,143,0.4,26.31,62,47.5
JR-0013,CDI 186,292212,7953101,Patos de Minas,0.17,4.02,8.0,182.0,1.7,0.32,0.03,0.05,69.29,10.9,54,1.48,41.5,5.53,11.9,0.37,0.01,0.06,0.16,34.6,7.0,103.89,0.06,393,2.82,1.13,28.2,1020.0,20.6,17.6,0.79,7.4,1.8,37.4,10.1,0.03,1.75,108,0.7,19.82,47,20.7
JR-0014,CDI 187,290931,7938818,Patos de Minas,0.09,0.83,7.0,109.0,1.0,0.22,0.07,0.04,45.52,20.4,119,0.55,26.9,4.62,5.1,0.49,0.01,0.03,0.12,17.6,5.0,63.12,0.07,440,0.82,0.95,31.0,692.0,17.3,8.2,0.52,4.3,0.9,12.8,5.4,0.02,0.97,68,1.2,4.3,44,19.4
JR-0015,CDI 188,292008,7951040,Patos de Minas,0.18,0.99,6.0,92.0,0.6,0.21,0.05,0.04,48.81,14.5,104,0.64,24.0,3.95,5.0,0.38,0.01,0.03,0.14,19.6,4.0,68.41,0.06,394,6.9,0.94,26.7,360.0,15.1,9.6,0.41,3.4,1.1,8.6,6.1,0.02,0.83,53,1.6,3.9,32,17.0
JR-0016,CDI 189,292163,7951599,Patos de Minas,0.07,0.79,6.0,93.0,0.7,0.19,0.07,0.04,40.07,15.7,90,0.52,29.6,3.89,4.6,0.38,0.03,0.03,0.11,15.2,4.0,55.27,0.05,418,0.74,0.98,26.7,422.0,15.3,7.3,0.49,3.4,0.9,8.4,4.9,0.02,0.77,55,0.8,3.43,33,16.6
JR-0017,CDI 190,291278,7949311,Patos de Minas,0.06,1.32,7.0,107.0,0.7,0.23,0.07,0.05,71.92,18.3,73,0.85,34.5,4.22,6.2,0.3,0.04,0.03,0.14,31.7,5.0,103.62,0.09,560,3.6,1.18,31.2,406.0,18.8,11.6,0.36,3.7,1.0,9.0,8.1,0.02,0.98,52,1.2,6.09,38,13.7
JR-0018,CDI 191,291645,7949618,Patos de Minas,0.04,0.67,6.0,83.0,0.5,0.19,0.05,0.03,40.97,13.6,95,0.49,20.7,3.62,4.5,0.46,0.01,0.03,0.08,14.3,3.0,55.27,0.06,364,0.6,1.03,23.8,274.0,15.9,6.6,0.41,3.1,0.8,6.7,4.9,0.03,0.7,57,0.8,2.68,28,19.0
JR-0019,CDI 192,290774,7947637,Patos de Minas,0.08,1.4,7.0,347.0,1.7,0.33,0.06,0.07,91.45,39.9,134,1.19,49.2,6.01,9.3,0.75,0.03,0.04,0.19,41.8,8.0,133.25,0.19,1158,2.71,1.36,94.9,583.0,33.2,18.4,0.55,7.1,1.4,19.4,9.2,0.04,0.97,93,0.8,14.79,57,27.4
JR-0020A,CDI 193,295650,7941550,Patos de Minas,0.1,2.68,2.0,25.0,0.5,0.16,0.01,0.03,28.35,1.1,43,1.01,15.1,1.2,10.4,0.12,0.01,0.05,0.02,14.8,2.0,43.15,0.01,33,0.64,0.34,5.8,142.0,10.0,2.9,0.24,4.9,1.6,2.5,3.8,0.01,0.57,65,1.1,4.14,8,6.7
JR-0021,CDI 194,291500,7941550,Patos de Minas,0.05,1.07,12.0,85.0,0.7,0.36,0.01,0.03,71.31,21.3,60,1.42,41.5,5.14,6.8,0.48,0.01,0.03,0.14,36.6,5.0,107.91,0.06,553,4.08,0.46,27.3,301.0,34.1,10.8,0.5,3.1,0.9,5.2,12.1,0.01,1.21,50,1.8,4.56,38,21.0
JR-0022,CDI 195,295600,7942700,Patos de Minas,0.07,1.72,2.0,24.0,0.3,0.11,0.01,0.01,15.9,1.2,42,0.64,9.7,1.58,6.5,0.12,0.02,0.03,0.03,7.9,1.0,23.8,0.01,46,0.66,0.48,4.9,105.0,7.2,2.8,0.23,2.8,1.3,2.9,3.0,0.01,0.37,48,0.5,2.07,5,6.8
JR-0023,CDI 196,293250,7944400,Patos de Minas,0.07,0.75,17.0,133.0,0.6,0.5,0.02,0.03,70.1,28.1,60,1.24,52.3,5.67,4.8,0.44,0.01,0.03,0.14,30.3,8.0,100.4,0.07,1008,4.77,0.74,30.7,238.0,37.8,9.6,0.55,2.8,0.8,9.1,11.3,0.01,1.13,49,2.5,3.33,38,20.5
JR-0024,CDI 197,293006,7945364,Patos de Minas,0.04,0.97,8.0,63.0,0.3,0.22,0.01,0.02,47.27,12.4,56,0.66,23.9,3.67,5.0,0.36,0.01,0.03,0.07,16.5,4.0,63.77,0.03,366,0.73,0.93,16.9,168.0,17.6,5.9,0.34,3.0,0.9,4.3,6.4,0.01,0.72,51,2.7,2.18,25,16.9
JR-0025,CDI 198,293450,7948550,Patos de Minas,0.06,0.54,6.0,63.0,0.2,0.12,0.01,0.06,41.92,6.4,76,0.24,15.3,3.03,2.9,0.19,0.01,0.02,0.06,9.5,1.0,51.42,0.01,365,7.35,0.97,10.3,138.0,13.8,4.7,0.28,2.1,1.0,3.9,4.2,0.01,0.63,51,1.0,1.85,10,8.0
JR-0026,CDI 199,289400,7944600,Patos de Minas,0.07,1.21,8.0,79.0,0.9,0.28,0.02,0.03,59.79,19.2,93,1.31,35.1,4.65,8.2,0.76,0.01,0.04,0.11,22.0,6.0,81.79,0.08,529,0.66,1.92,36.6,354.0,23.2,10.1,0.45,5.3,1.4,6.1,7.4,0.02,1.02,74,0.5,6.05,51,27.2
JR-0027,CDI 200,292400,7947450,Patos de Minas,0.06,1.02,6.0,157.0,0.9,0.22,0.06,0.03,54.93,21.9,112,0.8,29.1,4.39,6.4,0.48,0.01,0.03,0.11,23.3,6.0,78.23,0.12,582,2.76,1.41,45.2,392.0,17.4,13.8,0.34,4.4,1.2,12.3,6.8,0.04,0.88,65,0.6,5.1,39,22.8
JR-0101,CDE396,334903,7904245,Patos de Minas,0.07,2.72,10.0,82.0,1.2,0.41,0.07,0.05,73.98,23.5,41,0.96,30.6,5.46,11.2,0.16,0.03,0.05,0.16,37.0,3.0,110.98,0.06,1538,0.81,0.41,26.4,474.0,24.0,11.2,0.74,6.9,1.3,6.7,8.6,0.01,0.98,64,2.0,11.08,35,6.3
JR-0102,CDE397,340304,7900525,Patos de Minas,0.09,1.86,10.0,103.0,0.7,0.29,0.14,0.04,58.17,28.5,52,0.74,22.4,5.02,7.8,0.11,0.02,0.06,0.14,26.1,3.0,84.27,0.06,2253,0.75,0.33,24.9,546.0,20.0,8.1,0.57,4.8,0.9,10.3,5.6,0.01,0.75,51,0.3,8.62,40,4.3
JR-0103,CDE398,339640,7901622,Patos de Minas,0.08,9.71,4.0,72.0,1.8,0.71,0.04,0.09,142.57,2.4,112,2.07,38.6,1.86,32.0,0.14,0.02,0.13,0.17,43.8,4.0,186.37,0.04,111,0.79,1.22,12.8,630.0,31.4,17.2,1.29,16.6,4.2,4.0,9.6,0.03,2.15,190,0.5,11.15,11,6.8
LG-0014,CDE355,333236,7901591,Patos de Minas,0.06,2.43,17.0,81.0,1.1,0.54,0.07,0.02,86.5,29.5,88,1.13,36.6,7.64,11.1,0.18,0.02,0.02,0.16,32.8,5.0,119.3,0.06,1095,1.25,0.37,36.2,614.0,39.5,10.9,1.23,7.3,1.3,7.2,9.5,0.01,1.23,80,0.3,9.67,47,9.0
LG-0015,CDI 133,331804,7902436,Patos de Minas,0.07,3.74,9.0,72.0,0.9,0.4,0.03,0.05,88.93,10.7,64,1.92,30.0,4.86,12.5,0.1,0.01,0.06,0.17,32.4,7.0,121.33,0.04,426,5.28,0.65,17.1,615.0,23.7,17.1,0.9,6.7,2.7,4.1,9.2,0.01,1.18,73,0.5,8.24,33,2.6
LG-0016,CDE356,329616,7901438,Patos de Minas,0.14,2.73,10.0,78.0,0.9,0.38,0.05,0.05,80.88,14.3,39,1.61,31.6,5.4,10.7,0.11,0.04,0.05,0.2,38.7,4.0,119.58,0.05,606,0.91,0.39,22.2,615.0,23.8,12.7,0.64,6.8,1.4,5.3,8.3,0.01,0.96,62,0.5,10.19,39,4.4
LG-0017,CDI 134,328268,7904174,Patos de Minas,0.23,3.8,13.0,66.0,1.4,0.43,0.06,0.02,91.99,18.9,65,2.01,37.5,7.0,13.4,0.24,0.04,0.06,0.16,39.1,7.0,131.09,0.06,1139,1.18,0.53,24.7,514.0,29.3,14.8,1.31,7.5,2.9,6.6,10.7,0.01,1.34,90,0.8,10.7,48,5.7
LG-0018,CDE357,320110,7904530,Patos de Minas,0.26,3.01,14.0,236.0,1.7,0.34,0.07,0.08,98.53,43.5,46,2.11,33.4,11.68,12.3,0.35,0.05,0.08,0.16,37.5,4.0,136.03,0.08,2329,1.84,2.75,39.2,1242.0,21.3,21.0,0.75,9.6,1.8,17.4,9.9,0.04,1.55,92,3.8,13.17,41,18.6
LG-0019,CDE358,327446,7903098,Patos de Minas,0.09,4.05,8.0,88.0,1.1,0.38,0.02,0.06,67.9,4.3,51,1.58,29.7,4.65,13.3,0.1,0.06,0.02,0.21,26.5,3.0,94.4,0.04,143,0.73,0.61,17.5,567.0,22.2,13.5,0.83,8.1,2.0,4.3,7.9,0.01,1.01,81,0.5,7.63,28,4.4
LG-0020A,CDE359,326888,7902109,Patos de Minas,0.14,4.29,12.0,158.0,1.1,0.65,0.04,0.03,96.75,25.7,52,1.74,53.0,7.61,15.6,0.34,0.04,0.08,0.24,37.3,5.0,134.05,0.07,1220,1.1,0.43,33.1,507.0,47.7,13.7,1.15,9.7,1.8,7.2,11.9,0.02,1.39,94,0.5,10.18,47,17.7
LG-0021,CDE360,325374,7902503,Patos de Minas,0.08,4.44,12.0,110.0,1.3,0.46,0.07,0.03,63.09,15.4,65,2.23,37.1,6.16,16.2,0.31,0.03,0.08,0.27,25.0,9.0,88.09,0.12,774,1.11,0.45,29.0,599.0,24.8,18.1,0.86,10.0,2.1,10.2,11.1,0.01,1.26,94,0.5,6.47,47,15.2
LG-0022,CDE361,325680,7904249,Patos de Minas,0.08,2.66,9.0,112.0,1.0,0.36,0.02,0.02,88.9,25.8,41,1.69,31.2,5.64,11.2,0.22,0.06,0.02,0.15,45.6,2.0,134.5,0.03,1220,0.72,0.46,23.5,493.0,17.7,10.3,0.69,7.5,1.4,3.3,9.6,0.01,1.03,63,0.3,11.37,35,9.8
LG-0023,CDE362,323501,7899579,Patos de Minas,0.07,1.66,10.0,84.0,0.4,0.29,0.04,0.04,40.82,17.2,43,0.93,33.9,4.85,6.8,0.12,0.06,0.03,0.17,16.6,3.0,57.42,0.07,525,1.2,0.71,23.9,698.0,19.4,9.6,0.5,4.8,0.9,7.9,5.9,0.02,1.06,52,0.3,4.19,56,5.2
LG-0024,CDE363,322569,7899311,Patos de Minas,0.06,1.91,6.0,181.0,1.3,0.23,0.08,0.08,77.41,21.9,42,1.21,29.5,5.2,8.5,0.29,0.04,0.07,0.13,33.0,5.0,110.41,0.1,782,0.9,2.89,24.2,1024.0,13.9,13.1,0.38,6.9,1.2,25.6,7.5,0.05,1.2,73,0.2,7.55,48,15.7
LG-0025,CDE364,321786,7900591,Patos de Minas,0.05,1.52,7.0,147.0,0.8,0.21,0.09,0.05,55.63,19.1,43,0.85,24.0,4.45,6.3,0.2,0.03,0.02,0.15,24.5,4.0,80.13,0.09,1331,1.04,1.9,20.2,659.0,14.8,10.6,0.44,5.0,1.1,23.5,6.5,0.04,1.04,56,0.5,5.15,39,11.8
LG-0026,CDE365,322942,7902987,Patos de Minas,0.09,1.29,5.0,122.0,0.7,0.17,0.06,0.04,55.0,15.1,39,0.82,18.6,3.41,5.7,0.26,0.05,0.02,0.11,24.0,3.0,79.0,0.06,1056,0.79,1.89,16.6,544.0,12.5,9.0,0.32,4.5,0.8,18.6,6.6,0.05,0.93,48,0.2,4.7,32,14.3
LG-0027,CDE366,321331,7899308,Patos de Minas,0.04,4.86,8.0,216.0,2.2,0.34,0.12,0.04,113.39,21.8,74,2.46,41.2,6.75,18.9,0.57,0.04,0.07,0.18,37.4,8.0,150.79,0.11,1224,1.5,3.46,33.4,1034.0,19.1,21.3,0.82,15.0,2.6,24.9,13.8,0.09,1.97,143,0.3,10.33,45,40.4
LG-0028,CDI 136,317479,7901094,Patos de Minas,0.12,2.65,11.0,230.0,2.5,0.29,0.07,0.06,115.11,32.4,103,2.48,45.1,7.43,11.5,1.31,0.05,0.07,0.25,53.7,9.0,168.81,0.15,996,1.98,5.41,44.0,981.0,20.9,39.3,1.64,12.0,2.2,21.2,24.3,0.11,3.12,139,1.1,25.94,66,78.2
LG-0029,CDE367,318642,7899803,Patos de Minas,0.11,2.57,9.0,265.0,2.5,0.32,0.14,0.05,129.34,29.3,63,1.8,42.8,6.61,12.8,0.84,0.04,0.07,0.17,55.2,7.0,184.54,0.11,1300,1.51,5.26,37.6,1049.0,18.5,22.6,0.88,13.3,2.1,28.3,16.6,0.11,2.22,119,2.0,18.38,49,54.8
LG-0030A,CDE368,319688,7898870,Patos de Minas,0.17,2.46,16.0,160.0,1.6,0.24,0.12,0.07,82.97,16.7,30,2.17,28.4,15.0,10.3,0.27,0.03,0.03,0.12,25.1,1.0,108.07,0.05,796,2.88,3.61,20.7,1474.0,19.4,17.7,0.63,8.7,1.9,25.6,7.5,0.04,1.24,89,0.4,6.07,14,15.1
LG-0031,CDE369,316795,7903970,Patos de Minas,0.07,2.62,3.0,302.0,2.0,0.12,0.11,0.06,93.98,13.0,81,1.89,35.1,4.67,11.3,0.6,0.03,0.04,0.07,34.7,5.0,128.68,0.08,450,1.0,6.27,37.0,1304.0,8.1,9.9,0.46,11.7,2.4,56.4,10.0,0.16,2.02,126,0.2,10.01,33,38.5
LG-0032,CDE370,317459,7904687,Patos de Minas,0.07,1.71,3.0,252.0,1.7,0.1,0.1,0.08,105.3,21.4,211,1.43,30.2,4.63,8.8,0.63,0.04,0.02,0.12,45.5,4.0,150.8,0.19,598,0.8,4.84,97.1,914.0,6.5,15.7,0.31,9.4,1.8,40.5,12.0,0.2,1.46,100,0.1,8.39,34,41.7
LG-0033,CDE371,315790,7904888,Patos de Minas,0.15,2.12,4.0,461.0,2.6,0.12,0.18,0.06,129.96,42.8,202,1.79,39.2,6.22,10.6,0.61,0.03,0.02,0.25,58.2,6.0,188.16,0.34,2384,1.05,5.83,120.6,1185.0,9.9,29.1,0.37,10.9,2.0,64.8,13.8,0.24,1.73,117,0.2,11.31,45,37.6
